institution,course_name,url,year,module_name,credits,type,bucket_1,bucket_2
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Globalisation and Its Malcontents,,,IR Theory & Global Order,International Political Economy
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,International Law,,,Law,
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,"International Diplomacy, Sustaintable Growth and Cultural Heritage",,,Diplomacy & Foreign Policy,Environment & Sustainability
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,Multi-Media and Public Communications,,,"Media, Communication & Culture",
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,Year 3,The Politics of East Asia,,,Regional & Area Studies,
Coventry,BA (hons) international relations,https://www.coventry.ac.uk/course-structure/ug/fah/international-relations-ba-hons/?term=2025-26,Year 2,Placement year,,,"Skills, Placement & Employability",
Coventry,BA (hons) international relations,https://www.coventry.ac.uk/course-structure/ug/fah/international-relations-ba-hons/?term=2025-26,Year 2,The Politics of the Global South,30,core,Regional & Area Studies,International Political Economy
Coventry,BA (hons) international relations,https://www.coventry.ac.uk/course-structure/ug/fah/international-relations-ba-hons/?term=2025-26,Year 2,The Spy Game: Intelligence and Surveillance,30,core,Security & Conflict,
Coventry,BA (hons) politics & international relations,https://www.coventry.ac.uk/course-structure/ug/fah/politics-and-international-relations/?term=2025-26,Year 2,Placement year,,,"Skills, Placement & Employability",
Coventry,BA (hons) politics & international relations,https://www.coventry.ac.uk/course-structure/ug/fah/politics-and-international-relations/?term=2025-26,Year 2,International Relations of the Middle East and South Asia,30,core,Regional & Area Studies,
Coventry,BA (hons) politics & international relations,https://www.coventry.ac.uk/course-structure/ug/fah/politics-and-international-relations/?term=2025-26,Year 2,"Global Conspiracies, Populism, and the Far Right",30,core,Political Theory & Philosophy,Comparative & British Politics
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Common Law System & Method,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Constitutional Law,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Torts,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Criminal Law of England & Wales,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Contract.,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Common Law System and Method,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Constitutional Law 1,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Torts,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Criminal Law of England and Wales,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Contract,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,European Union Law,,core,Law,Regional & Area Studies
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Jurisprudence,,core,Law,Political Theory & Philosophy
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Law & Government,,core,Law,Comparative & British Politics
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Land Law,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Equity & Trusts.,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Public International Law,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Roman Law of Property and Obligations,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Commercial Law,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Business Organisations,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,>Foundations of Evidence Law.,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Family Law.,,core,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,European Union Law,,,Law,Regional & Area Studies
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Jurisprudence,,,Law,Political Theory & Philosophy
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Law and Government,,,Law,Comparative & British Politics
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Land Law,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Equity and Trusts,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Public International Law,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Roman Law Of Property & Obligations 1,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Commercial Law (Common Law),,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Business Organisations,,,Law,
Glasgow,LLB (hons) common law & international relations,https://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Foundations of Evidence Law,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Common Law System & Method,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Constitutional Law,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Torts,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Criminal Law of England & Wales,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Contract.,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Common Law System and Method,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Constitutional Law 1,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Torts,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Criminal Law of England and Wales,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 1,Law of Contract,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,European Union Law,,core,Law,Regional & Area Studies
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Jurisprudence,,core,Law,Political Theory & Philosophy
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Law & Government,,core,Law,Comparative & British Politics
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Land Law,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Equity & Trusts.,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Public International Law,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Roman Law of Property and Obligations,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Commercial Law,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Business Organisations,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,>Foundations of Evidence Law.,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Family Law.,,core,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,European Union Law,,,Law,Regional & Area Studies
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Jurisprudence,,,Law,Political Theory & Philosophy
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Law and Government,,,Law,Comparative & British Politics
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Land Law,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Equity and Trusts,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Public International Law,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Roman Law Of Property & Obligations 1,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Commercial Law (Common Law),,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Business Organisations,,,Law,
Glasgow,LLB (hons) common law/ politics,http://www.gla.ac.uk/undergraduate/degrees/commonlaw/,Year 2,Foundations of Evidence Law,,,Law,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 1,Non Beginners Language 1: Culture 1,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 1,Beginners Language 1,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 1,French Culture 1 (Non-Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 1,French Language 1 (Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 1,French Language 1 (Non-Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 2,Language 2: Culture 2,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 2,Language 2: Culture 2,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 2,French Culture 2,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 2,French Language 2,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Year abroad,,,"Skills, Placement & Employability",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Year abroad,,,"Skills, Placement & Employability",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,FRENCH YEAR ABROAD ASSISTANTSHIP,,,"Skills, Placement & Employability",Language & Area Language Modules
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,FRENCH YEAR ABROAD STUDY,,,"Skills, Placement & Employability",Language & Area Language Modules
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,FRENCH YEAR ABROAD WORK PLACEMENT,,,"Skills, Placement & Employability",Language & Area Language Modules
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Bande Dessinee,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Court And Conflict In Medieval French Literature,,,Sociology & History,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,French Cinema,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Language And Socio-Cultural Identity In Modern France,,,Language & Area Language Modules,"Gender, Identity & Society"
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Modern French Thought,,,Political Theory & Philosophy,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Satire And Subversion In Medieval French Literature,,,Sociology & History,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,The European Emblem,,,,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Travel Writing,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,French Song and Society: From Troubadours to Rap,,,Language & Area Language Modules,"Media, Communication & Culture"
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,French Honours Spoken Language (Junior),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,French Honours Spoken Language (Senior),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,French Honours Written Language (Junior),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,French Honours Written Language (Senior),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,"Consumption, Culture and Society in Modern France",,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,The Twenty-First Century Novel in French,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Zombies and Terror: Representations of Haitian Dictatorship,,,"Media, Communication & Culture",Regional & Area Studies
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,France 1940-44: The Occupation and its Legacies,,,Sociology & History,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Food and Culture in France,,,Language & Area Language Modules,"Media, Communication & Culture"
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Writing the Visual: The Art of the Text,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Modern French Poetry and Poetics,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary French Language (Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,French Dissertation,,,Research Methods & Dissertation,Language & Area Language Modules
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Applied Dissertation with Placement in French,,,Language & Area Language Modules,"Skills, Placement & Employability"
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Translation Studies: An introduction to key topics in theory and practice,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,The Brothers Grimm and the European Fairy Tale,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Narrating the City: Representation of Urban Space in Literature and Film,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Classic European Cinema East and West,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Myths and Modern Imagination,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Transcultural Connections: 'Classic' Texts and their Adaptations across Cultures,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Bestsellers in the Pre-Industrial Age,,,Sociology & History,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Cervantes in Hollywood,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Czech Cinema,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,"Czech, Polish And Russian Women's Writing In English Translation",,,"Gender, Identity & Society","Media, Communication & Culture"
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Czech Language (Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Czech Language (Intermediate),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,"Milan Kundera, a French writer? A study in intercultural literary discourse",,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Teaching English to Speakers of Other Languages (Hons),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,European Political Thought: A View from Germany,,,Political Theory & Philosophy,Regional & Area Studies
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Brecht,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Catalan 1,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Catalan 2,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,"The Lost Empire: Byzantium And The Slavs, 800-1600",,,Sociology & History,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,The Medievalists,,,Sociology & History,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Czechoslovakia,,,Regional & Area Studies,Sociology & History
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,History through film and literature: Crisis situations,,,Sociology & History,"Media, Communication & Culture"
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Text/Image Cultures: Theory and Practice,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Chinese (Mandarin) Language (Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Chinese (Mandarin) Language (Intermediate),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Latin American Cinema,,,"Media, Communication & Culture",Regional & Area Studies
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Censorship In Western Culture,,,"Media, Communication & Culture",
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Multilingualism in Context,,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Language Policy and Planning for European Minority Languages,,,Language & Area Language Modules,Regional & Area Studies
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Polish Language (Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Polish Language (Intermediate),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Portuguese Language (Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Portuguese Language (Intermediate),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Russian Language (Beginners),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Subsidiary Russian Language (Intermediate),,,Language & Area Language Modules,
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Russian Literature and State Power,,,"Media, Communication & Culture",Regional & Area Studies
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,Brave New Worlds: Russian Culture in the Age of Revolution,,,Regional & Area Studies,Sociology & History
Glasgow,MA (hons) / politics,http://www.gla.ac.uk/undergraduate/degrees/french/,Year 3,"Existentialism: Atheism, Reason, and Faith",,,Political Theory & Philosophy,
Glasgow,MA (hons) film & television studies/ politics,http://www.gla.ac.uk/undergraduate/degrees/filmtelevisionstudies/,Year 1,Screen Analysis,,,"Media, Communication & Culture",
Glasgow,MA (hons) film & television studies/ politics,http://www.gla.ac.uk/undergraduate/degrees/filmtelevisionstudies/,Year 1,Screen Histories,,,"Media, Communication & Culture",
Glasgow,MA (hons) film & television studies/ politics,http://www.gla.ac.uk/undergraduate/degrees/filmtelevisionstudies/,Year 2,Screen Industries,,,"Media, Communication & Culture",
Glasgow,MA (hons) film & television studies/ politics,http://www.gla.ac.uk/undergraduate/degrees/filmtelevisionstudies/,Year 2,Screen Experiences,,,"Media, Communication & Culture",
Glasgow,MA (hons) film & television studies/ politics,http://www.gla.ac.uk/undergraduate/degrees/filmtelevisionstudies/,Year 3,Film Analysis,,,"Media, Communication & Culture",
Glasgow,MA (hons) film & television studies/ politics,http://www.gla.ac.uk/undergraduate/degrees/filmtelevisionstudies/,Year 3,Television Analysis,,,"Media, Communication & Culture",
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction to sustainable development,,,Environment & Sustainability,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction to global environmental issues,,,Environment & Sustainability,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"People, power & place",,,Political Theory & Philosophy,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"Energy, waste & pollution",,,Environment & Sustainability,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction to Sustainable Development,,core,Environment & Sustainability,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,Introduction To Global Environmental Issues,,core,Environment & Sustainability,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"People, Power and Place",,core,Political Theory & Philosophy,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 1,"Energy, Waste and Pollution: Options for Sustainability",,core,Environment & Sustainability,
Glasgow,MA (hons) global sustainable development,https://www.gla.ac.uk/undergraduate/degrees/global-sustainable-development/,Year 2,Global perspectives on health & human development,,,International Political Economy,
